Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-06-01 00:00:00-04:00,88.26276406132355,88.26276406132355,88.25394439697266,88.25394439697266,1600,0.0,0.0,0.0
2020-06-02 00:00:00-04:00,88.26275030216914,88.26275030216914,88.25657653808594,88.25657653808594,4000,0.0,0.0,0.0
2020-06-03 00:00:00-04:00,88.25831604003906,88.25831604003906,88.25831604003906,88.25831604003906,100,0.0,0.0,0.0
2020-06-04 00:00:00-04:00,88.24507981667179,88.26361456892515,88.24507981667179,88.25831604003906,2400,0.0,0.0,0.0
2020-06-05 00:00:00-04:00,88.26276406132355,88.26276406132355,88.25394439697266,88.25394439697266,400,0.0,0.0,0.0
2020-06-08 00:00:00-04:00,88.25394439697266,88.25394439697266,88.25394439697266,88.25394439697266,100,0.0,0.0,0.0
2020-06-09 00:00:00-04:00,88.25394439697266,88.25394439697266,88.25394439697266,88.25394439697266,100,0.0,0.0,0.0
2020-06-10 00:00:00-04:00,88.2627258703064,88.2627258703064,88.25831604003906,88.25831604003906,12300,0.0,0.0,0.0
2020-06-11 00:00:00-04:00,88.2627258703064,88.27155226340635,88.25831604003906,88.25831604003906,7587100,0.0,0.0,0.0
2020-06-12 00:00:00-04:00,88.25390620977174,88.2627258703064,88.25390620977174,88.25831604003906,4900,0.0,0.0,0.0
2020-06-15 00:00:00-04:00,88.2627258703064,88.2627258703064,88.25831604003906,88.25831604003906,8500,0.0,0.0,0.0
2020-06-16 00:00:00-04:00,88.25831604003906,88.25831604003906,88.25831604003906,88.25831604003906,100,0.0,0.0,0.0
2020-06-17 00:00:00-04:00,88.27155985333154,88.27155985333154,88.25832362882616,88.26273345947266,4600,0.0,0.0,0.0
2020-06-18 00:00:00-04:00,88.27157292548915,88.27157292548915,88.26274653032317,88.26628112792969,19600,0.0,0.0,0.0
2020-06-19 00:00:00-04:00,88.26716613769531,88.2706940028566,88.2627495736766,88.26716613769531,5600,0.0,0.0,0.0
2020-06-22 00:00:00-04:00,88.27155985333154,88.27155985333154,88.25391379817965,88.26273345947266,22500,0.0,0.0,0.0
2020-06-23 00:00:00-04:00,88.27155985333154,88.27155985333154,88.26273345947266,88.26273345947266,1500,0.0,0.0,0.0
2020-06-24 00:00:00-04:00,88.25391379817965,88.27155985333154,88.25391379817965,88.26273345947266,17100,0.0,0.0,0.0
2020-06-25 00:00:00-04:00,88.26273345947266,88.26273345947266,88.25391379817965,88.26273345947266,10700,0.0,0.0,0.0
2020-06-26 00:00:00-04:00,88.27155226340635,88.27155226340635,88.25390620977174,88.25831604003906,51200,0.0,0.0,0.0
2020-06-29 00:00:00-04:00,88.26716613769531,88.26716613769531,88.2627495736766,88.26716613769531,3700,0.0,0.0,0.0
2020-06-30 00:00:00-04:00,88.26716613769531,88.26716613769531,88.26716613769531,88.26716613769531,700,0.0,0.0,0.0
2020-07-01 00:00:00-04:00,88.26805145376889,88.26805145376889,88.26364135742188,88.26364135742188,15100,0.006,0.0,0.0
2020-07-02 00:00:00-04:00,88.26805503434412,88.27688196036775,88.26805503434412,88.2689437866211,5300,0.0,0.0,0.0
2020-07-06 00:00:00-04:00,88.26364135742188,88.26805145376889,88.26364135742188,88.26364135742188,2400,0.0,0.0,0.0
2020-07-07 00:00:00-04:00,88.26011328034426,88.26805145376889,88.26011328034426,88.26364135742188,3900,0.0,0.0,0.0
2020-07-08 00:00:00-04:00,88.26805145376889,88.27687837943446,88.26364135742188,88.26364135742188,18700,0.0,0.0,0.0
