Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-18 00:00:00-04:00,1.2050464153289795,1.214460858979939,1.1862176021518682,1.2050464153289795,418166,0.0,0.0
1994-10-19 00:00:00-04:00,1.2144611237273337,1.3180197299639962,1.2144611237273337,1.308605432510376,249950,0.0,0.0
1994-10-20 00:00:00-04:00,1.3274352741113442,1.3650930880860175,1.3180208206176758,1.3180208206176758,141590,0.0,0.0
1994-10-21 00:00:00-04:00,1.3180208298301699,1.3274352833896417,1.2897776174015265,1.2991920709609985,68731,0.0,0.0
1994-10-24 00:00:00-04:00,1.2991905454564943,1.327433724722106,1.2709472179412842,1.2709472179412842,75749,0.0,0.0
1994-10-25 00:00:00-04:00,1.261534158831908,1.2991919701476646,1.2427053272989101,1.2897775173187256,65222,0.0,0.0
1994-10-26 00:00:00-04:00,1.2821780443191528,1.3011733122722293,1.2821780443191528,1.2821780443191528,47678,0.072674,0.0
1994-10-27 00:00:00-04:00,1.2821780443191528,1.3011733122722293,1.2821780443191528,1.2821780443191528,34882,0.0,0.0
1994-10-28 00:00:00-04:00,1.282179721007987,1.2916773674044673,1.2631844282150269,1.2631844282150269,41280,0.0,0.0
1994-10-31 00:00:00-05:00,1.272682074611507,1.282179721007987,1.2631844282150269,1.2631844282150269,33850,0.0,0.0
1994-11-01 00:00:00-05:00,1.2631844282150269,1.272682074611507,1.2536868565984536,1.2631844282150269,34056,0.0,0.0
1994-11-02 00:00:00-05:00,1.2631832757659243,1.2726809134973562,1.2251928743998741,1.253685712814331,75542,0.0,0.0
1994-11-03 00:00:00-05:00,1.2631830288486527,1.27268066472356,1.244187831878662,1.244187831878662,56554,0.0,0.0
1994-11-04 00:00:00-05:00,1.2441878569558669,1.2536854930222034,1.2156950235366821,1.2156950235366821,67699,0.0,0.0
1994-11-07 00:00:00-05:00,1.2156950235366821,1.2346902956693555,1.2156950235366821,1.2156950235366821,73478,0.0,0.0
1994-11-08 00:00:00-05:00,1.2156948014891096,1.2346900701522827,1.2156948014891096,1.2346900701522827,106296,0.0,0.0
1994-11-09 00:00:00-05:00,1.2251931428909302,1.2441883477365991,1.2251931428909302,1.2251931428909302,61920,0.0,0.0
1994-11-10 00:00:00-05:00,1.2156954188695728,1.244188261554366,1.1872025761847798,1.1967002153396606,76574,0.0,0.0
