Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
,0.6000,0.6000,Regular,Quarterly,2/1/2007,2/5/2007,2/20/2007,,
2006,,,,,,,,,
,0.5800,0.5800,Regular,Quarterly,11/6/2006,11/8/2006,11/22/2006,,
,0.5700,0.5700,Regular,Quarterly,8/3/2006,8/7/2006,8/21/2006,,
,0.7200,0.7200,Regular,Quarterly,4/27/2006,5/1/2006,5/15/2006,,
,0.7000,0.7000,Regular,Quarterly,1/19/2006,1/23/2006,2/6/2006,,
2005,,,,,,,,,
,0.6500,0.6500,Regular,Quarterly,10/25/2005,10/27/2005,11/11/2005,,
,0.5700,0.5700,Regular,Quarterly,8/11/2005,8/15/2005,8/31/2005,,
,0.5500,0.5500,Regular,Quarterly,4/27/2005,4/30/2005,5/15/2005,,
,0.4700,0.4700,Regular,Quarterly,1/27/2005,1/31/2005,2/15/2005,,
2004,,,,,,,,,
,0.4300,0.4300,Regular,Quarterly,10/13/2004,10/15/2004,10/29/2004,,
,0.3500,0.3500,Regular,Other,7/1/2004,7/6/2004,7/15/2004,,
