Price,Close,High,Low,Open,Volume
Ticker,MAIN,MAIN,MAIN,MAIN,MAIN
Date,,,,,
2020-01-02,28.77828025817871,28.784926931616194,28.565551205154367,28.67191573166654,272800
2020-01-03,28.838104248046875,28.851400127986842,28.585487601047046,28.585487601047046,185100
2020-01-06,28.83146095275879,28.944474687460065,28.665266223321282,28.731745636654477,333400
2020-01-07,28.838104248046875,28.904581111816924,28.731739744456913,28.891285231876953,211500
2020-01-08,28.871339797973633,28.99764684090059,28.811509612180963,28.811509612180963,191400
2020-01-09,28.96440887451172,28.984351424784315,28.871340258666834,28.917874566589276,201600
2020-01-10,28.991010665893555,29.1306136379772,28.917884575012465,28.964418899040346,186400
2020-01-13,29.283512115478516,29.31675055565073,28.977714408405433,29.037544615087597,300600
2020-01-14,29.36327362060547,29.39651458396286,29.183785605308746,29.250262460164606,151400
2020-01-15,29.629188537597656,29.702314605483537,29.363276024545314,29.363276024545314,292100
2020-01-16,29.76215362548828,29.888460711906102,29.6890275359036,29.748857742297393,289200
2020-01-17,29.662424087524414,29.915040696802095,29.5294678439083,29.82197208704964,306100
2020-01-21,29.598987579345703,29.72587762967909,29.558915830360746,29.652416577992316,247500
2020-01-22,29.785987854003906,29.83941685960075,29.585634178286163,29.69248964184464,206400
2020-01-23,29.745914459228516,29.80602080824441,29.67912821163594,29.745914459228516,165200
2020-01-24,29.398639678955078,29.759277847442295,29.271749603806782,29.719206090620812,295600
2020-01-27,29.111467361450195,29.278429206251438,28.74415181241457,29.051360995416324,399900
2020-01-28,29.158206939697266,29.351883227768738,29.11813519289928,29.21831328607687,274400
2020-01-29,29.064712524414062,29.35188704472395,29.017963420887806,29.28510079137568,319900
2020-01-30,29.07137107849121,29.1047654573902,28.977872931894254,28.984552826727423,137400
2020-01-31,28.764171600341797,29.058023378661936,28.67067342304149,29.03131143345775,327600
2020-02-03,28.810932159423828,29.084749450946525,28.764183052161556,28.937824777108794,224900
2020-02-04,29.01795768737793,29.19827671433734,28.85767325864693,28.93781674682971,231600
2020-02-05,29.144855499267578,29.204961857626245,28.984573575401303,29.144855499267578,281000
2020-02-06,29.251710891723633,29.305139897969827,29.131498175304934,29.20496178507583,196300
2020-02-07,29.398639678955078,29.418674283548132,29.21832059471147,29.245035099259127,191300
2020-02-10,29.645736694335938,29.71920029369474,29.3518848445356,29.398633944557588,249100
2020-02-11,29.672452926635742,29.79934298444407,29.632381175290206,29.66577302759397,274400
2020-02-12,29.652420043945312,29.806024611556232,29.592313687259722,29.779310109110373,168600
2020-02-13,30.0531063079834,30.0531063079834,29.578935686556118,29.585613033665865,233300
2020-02-14,29.98634910583496,30.093204587312275,29.77263814288034,30.046455473393177,232700
2020-02-18,29.86612319946289,30.11990326377972,29.806016858412168,29.91954964282214,285200
2020-02-19,29.909740447998047,29.983539808092274,29.822519765055393,29.909740447998043,218700
2020-02-20,29.889606475830078,30.003664668382417,29.728586457290017,29.889606475830078,228700
2020-02-21,29.721881866455078,29.835940082299487,29.594407445798456,29.795683789760123,206300
2020-02-24,29.138181686401367,29.346168706307306,28.99057782973472,29.18514608454662,439300
2020-02-25,26.333707809448242,29.23209276996815,24.461833442630656,29.185128400280217,1792100
2020-02-26,26.917417526245117,27.380355818965256,26.434354931249114,26.51486493718729,886300
2020-02-27,25.857364654541016,26.64905374272438,25.562156992214625,26.373975504244893,1203900
2020-02-28,24.777170181274414,25.28036209793821,22.73085689871495,24.455127661733563,1847500
2020-03-02,26.098896026611328,26.12573099152092,25.15960315186162,25.193148777524,1076600
2020-03-03,25.568857192993164,26.97108533728604,25.38099970972381,26.97108533728604,822000
2020-03-04,25.830530166625977,26.233082859761417,25.582289424504708,25.924458957733073,401300
2020-03-05,25.36087989807129,25.669503754420365,25.12605795505943,25.495064962378304,441700
2020-03-06,24.757047653198242,25.092508989640674,24.253855648534593,25.092508989640674,762900
2020-03-09,21.97942543029785,22.99922819058907,21.469525329835673,22.811370662950402,1132600
2020-03-10,22.482629776000977,22.972405843779214,21.885508684369206,22.811383189262383,667100
2020-03-11,21.02001190185547,22.19412811667564,20.69125987357931,21.804991652534042,1021100
2020-03-12,17.79287338256836,19.342704728792224,16.410771460614818,18.96698831024662,1662700
2020-03-13,18.906600952148438,19.866020570268287,18.322897669065117,19.866020570268287,1336600
2020-03-16,14.760297775268555,17.772740213113636,14.760297775268555,16.773065653714266,1965400
2020-03-17,13.592073440551758,15.41383155564847,13.05028726477436,15.41383155564847,2071000
2020-03-18,11.4249267578125,12.786164603956344,9.83342818617739,12.765848430913037,2571400
2020-03-19,12.894523620605469,13.727520332163714,9.55576234827721,11.174350289368014,2051100
