Price,Close,High,Low,Open,Volume
Ticker,ABR,ABR,ABR,ABR,ABR
Date,,,,,
2020-01-02,8.08537483215332,8.251316684517182,8.01098702996191,8.22842817197407,1821700
2020-01-03,8.119706153869629,8.176927699804807,8.016708135173458,8.016708135173458,713800
2020-01-06,8.12542724609375,8.188371046688335,8.096816477251213,8.108261003070238,772400
2020-01-07,8.148317337036133,8.171205847421426,8.096818052242941,8.12542882665084,606400
2020-01-08,8.245595932006836,8.325706013450658,8.136875613916555,8.142597333822675,1434000
2020-01-09,8.279926300048828,8.31425879119447,8.245593263198076,8.262759508770898,1377100
2020-01-10,8.22270679473877,8.285650074598353,8.188374295071812,8.285650074598353,857200
2020-01-13,8.285648345947266,8.325703648142223,8.22270507921966,8.22270507921966,810200
2020-01-14,8.302813529968262,8.314257510018326,8.268480498408021,8.27992502416311,1056900
2020-01-15,8.279926300048828,8.32570331871309,8.245593263198076,8.31998105495378,761400
2020-01-16,8.3085355758667,8.3085355758667,8.268480282474966,8.285646524954275,1069200
2020-01-17,8.411535263061523,8.428701508982872,8.302814977952831,8.325703487749667,828400
2020-01-21,8.451589584350586,8.457311301857407,8.394368043641942,8.411534287572513,1328500
2020-01-22,8.45731258392334,8.4973678867735,8.440146337390493,8.491645622694172,882400
2020-01-23,8.480199813842773,8.503088320998291,8.422978818806506,8.457311306687254,599600
2020-01-24,8.440145492553711,8.531699525838091,8.360035440577338,8.508811017516996,748300
2020-01-27,8.377201080322266,8.41153356523512,8.285646513909638,8.388645060058215,699800
2020-01-28,8.45731258392334,8.485923358614842,8.36003627739531,8.365758541474637,486400
2020-01-29,8.640421867370605,8.669032098518676,8.537423288980978,8.583200313664106,982200
2020-01-30,8.697640419006348,8.697640419006348,8.588920152514717,8.634697164269618,480700
2020-01-31,8.451589584350586,8.663308411844483,8.417256550784389,8.663308411844483,2456500
2020-02-03,8.52597713470459,8.628975693460253,8.474478401031833,8.491644645589417,817400
2020-02-04,8.680475234985352,8.754863024588142,8.543144182967168,8.606087445382563,1133100
2020-02-05,8.720531463623047,8.73197599274604,8.651865926000644,8.697642951082246,632300
2020-02-06,8.686199188232422,8.766308711306849,8.64614388099001,8.743420198184841,759900
2020-02-07,8.703363418579102,8.737696453153834,8.680474910764305,8.691918891819167,707900
2020-02-10,8.583199501037598,8.737697353994735,8.583199501037598,8.72625282605489,795100
2020-02-11,8.520256042480469,8.634698590774324,8.514533778639498,8.594643835297754,726800
2020-02-12,8.52597713470459,8.600364922060894,8.508810890147004,8.531699398125475,614900
2020-02-13,8.634697914123535,8.640420177516088,8.531699355877905,8.543143882663006,999300
2020-02-14,8.45731258392334,8.588921929222202,8.245593724334432,8.583199665142873,1592500
2020-02-18,8.468758583068848,8.62325592011027,8.417259288819963,8.468758583068848,1323100
2020-02-19,8.388646125793457,8.571754190471653,8.382923862345994,8.497366948474944,1221000
2020-02-20,8.440145492553711,8.463034000874806,8.365757704083883,8.405812457219527,823700
2020-02-21,8.468758583068848,8.49164709765666,8.39437077423215,8.440147803407774,856100
2020-02-24,8.2627592086792,8.400090805389405,8.096817385621742,8.388646278286435,1998200
2020-02-25,7.90798807144165,8.297093311720396,7.730602244165275,8.29137104743273,3802600
2020-02-26,7.839322090148926,8.108262493578936,7.839322090148926,7.907987620570499,1904200
2020-02-27,7.406403541564941,7.786669465579103,7.043688738759212,7.780819091842959,4307600
2020-02-28,7.102192401885986,7.265998985065523,6.727776796696045,6.967636575832402,4450400
2020-03-02,7.599461078643799,7.611161825603626,7.078790113222539,7.131441800774797,2428800
2020-03-03,7.3947038650512695,7.985577705337312,7.336201239475676,7.77496925752547,2076000
2020-03-04,7.599461078643799,7.687215007075543,7.435654526662461,7.5292582706517965,1239400
2020-03-05,7.154844760894775,7.464907947979968,7.113893250794741,7.435656630227452,1721600
2020-03-06,7.072940349578857,7.29524953968242,6.850631159475296,6.9617854755658914,1874300
2020-03-09,6.224654674530029,6.680973173337057,6.2012537401789585,6.628320931566576,2214300
2020-03-10,6.388462066650391,6.581519940264356,6.142751944246732,6.470365626759063,1877100
2020-03-11,5.926292419433594,6.248055689346345,5.797586999884036,6.201253820041468,2120000
2020-03-12,4.896650791168213,5.224264475190083,4.551486822404211,4.75039479182177,3412800
2020-03-13,4.97270393371582,5.4173223016906,4.738694560004018,5.247665366268954,2594900
2020-03-16,4.247274875640869,4.7503953742234994,4.247274875640869,4.387680518325915,3054200
2020-03-17,3.3989903926849365,4.586589579989921,3.1883816134711873,4.504685995374913,8167400
2020-03-18,2.6677095890045166,3.1825308111706163,2.070985079345101,3.1649799672271626,7602600
2020-03-19,2.6209075450897217,2.966071796191999,2.2230911839205874,2.603356702253511,5723300
2020-03-20,2.8198163509368896,3.4399418829265813,2.778864562225417,2.9953234190691207,5161600
2020-03-23,2.4980525970458984,2.9543714632078855,2.258192694522864,2.936820619564226,3945300
2020-03-24,2.4980525970458984,2.925120150122185,2.4922025018054756,2.661859448195667,3181500
2020-03-25,2.954371213912964,3.3287864834256644,2.5741055706923093,2.673559692038145,4891600
2020-03-26,3.785104990005493,4.37012896415517,3.100627174577754,3.194230921174128,6282300
2020-03-27,4.001564025878906,4.124419081337376,3.6446993276918684,3.802655787715448,2544800
2020-03-30,3.241032838821411,3.9898636587226357,3.188380591159892,3.9898636587226357,4415200
2020-03-31,2.866617441177368,3.322935970795936,2.808115101349496,3.2761340989336376,3931000
2020-04-01,2.6618597507476807,2.732062575379312,2.568255705610945,2.708661633835435,2585700
